Names;URL;Author;Price;Number of Ratings;Average Rating
How to Prepare for Quantitative Aptitude for the CAT;/How-Prepare-Quantitative-Aptitude-CAT/dp/9352602242?_encoding=UTF8&psc=1;Arun Sharma;   544.00;4.2 out of 5 stars;231
Science Textbook for Class 10- 1064;/Science-Textbook-Class-10-1064/dp/8174506365?_encoding=UTF8&psc=1;Not Available;   165.00;3.2 out of 5 stars;50
Combo Pack: Science for Class 10 (2019 Exam) with Free Virtual Reality Gear;/Combo-Pack-Science-Virtual-Reality/dp/B07896K9RY?_encoding=UTF8&psc=1;Lakhmir Singh;   1,122.00;3.7 out of 5 stars;14
39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Mathematics;/Chapterwise-Topicwise-Solved-2017-1979-Mathematics/dp/9311128767?_encoding=UTF8&psc=1;Amit M Agarwal;   249.00;4.3 out of 5 stars;76
History of Modern India;/History-Modern-India-Bipan-Chandra/dp/8125036849?_encoding=UTF8&psc=1;Bipan Chandra;   235.00;4.0 out of 5 stars;602
12 Years' Solved Papers CBSE AIPMT & NEET;/Years-Solved-Papers-CBSE-AIPMT/dp/9311127639?_encoding=UTF8&psc=1;Not Available;   244.00;4.0 out of 5 stars;26
CBSE UGC NET/SET/JRF - Paper 1: Teaching and Research Aptitude;/CBSE-UGC-NET-SET-JRF/dp/9332551731?_encoding=UTF8&psc=1;KVS Madaan;   337.00;4.3 out of 5 stars;177
Not Available;/Beehive-for-Class-9-959/dp/8174505024?_encoding=UTF8&psc=1;Not Available;Not Available;4.0 out of 5 stars;1
Objective General English;/Objective-General-English-S-P-Bakshi/dp/9351768449?_encoding=UTF8&psc=1;S.P. Bakshi;   213.00;4.2 out of 5 stars;1,416
Peppa Pig: Fairy Tale Little Library;/Peppa-Pig-Fairy-Little-Library/dp/1409306178?_encoding=UTF8&psc=1;Lauren Holowaty;   133.00;3.9 out of 5 stars;214
Pralay: The Great Deluge (Harappa);/Pralay-Deluge-Harappa-Vineet-Bajpai/dp/8193642406?_encoding=UTF8&psc=1;Vineet Bajpai;   162.00;4.2 out of 5 stars;164
Trueman's UGC NET/SET General Paper I;/Truemans-UGC-NET-General-Paper/dp/8189301225?_encoding=UTF8&psc=1;Not Available;   265.00;4.2 out of 5 stars;297
Concepts of Physics 1;/Concepts-Physics-1-H-C-Verma/dp/8177091875?_encoding=UTF8&psc=1;H.C. Verma;   327.00;4.6 out of 5 stars;640
To Kill a Mockingbird;/Kill-Mockingbird-Harper-Lee/dp/0099549484?_encoding=UTF8&psc=1;Harper Lee;   230.00;4.3 out of 5 stars;1,049
Harappa - Curse of the Blood River;/Harappa-Curse-Blood-Vineet-Bajpai/dp/9352685482?_encoding=UTF8&psc=1;Vineet Bajpai;   130.00;4.1 out of 5 stars;494
Quantitative Aptitude for Competitive Examinations (Old Edition);/Quantitative-Aptitude-Competitive-Examinations-Old/dp/8121924987?_encoding=UTF8&psc=1;R.S. Aggarwal;   299.00;3.8 out of 5 stars;1,925
An Era of Darkness: The British Empire in India;/Era-Darkness-British-Empire-India/dp/938306465X?_encoding=UTF8&psc=1;Shashi Tharoor;   437.00;4.5 out of 5 stars;326
Who Will Cry When You Die?;/Who-Will-Cry-When-You/dp/8179922324?_encoding=UTF8&psc=1;Robin Sharma;   149.00;4.4 out of 5 stars;2,427
Life is What You Make It;/Life-What-Make-Preeti-Shenoy/dp/9380349300?_encoding=UTF8&psc=1;Preeti Shenoy;   81.00;3.9 out of 5 stars;2,563
India's Struggle for Independence: 1857-1947;/Indias-Struggle-Independence-Bipan-Chandra/dp/0140107819?_encoding=UTF8&psc=1;Bipan Chandra;   208.00;4.3 out of 5 stars;681
The Blue Umbrella;/Blue-Umbrella-Ruskin-Bond/dp/8171673406?_encoding=UTF8&psc=1;Ruskin Bond;   67.00;4.3 out of 5 stars;207
Moments : Supplementary Reader in English for Class - 9  - 960;/Moments-Supplementary-Reader-English-Class/dp/8174505032?_encoding=UTF8&psc=1;Not Available;Not Available;4.3 out of 5 stars;4
Handbook of Physics;/Handbook-Physics-Nipendra-Bhatnagar/dp/9352036034?_encoding=UTF8&psc=1;Not Available;   109.00;4.4 out of 5 stars;293
Thinking, Fast and Slow (Penguin Press Non-Fiction);/Thinking-Fast-Penguin-Press-Non-Fiction/dp/0141033576?_encoding=UTF8&psc=1;Daniel Kahneman;   350.00;4.5 out of 5 stars;456
Black Holes: The Reith Lectures;/Black-Holes-Lectures-Stephen-Hawking/dp/085750357X?_encoding=UTF8&psc=1;Stephen Hawking;   80.00;4.3 out of 5 stars;101
Indian Superfoods: Change the Way You Eat;/Indian-Superfoods-Change-Way-You/dp/8193237234?_encoding=UTF8&psc=1;Rujuta Diwekar;   213.00;4.1 out of 5 stars;247
Mathematics Textbook for Class - 10  - 1062;/Mathematics-Textbook-Class-10-1062/dp/8174506349?_encoding=UTF8&psc=1;Not Available;   140.00;3.8 out of 5 stars;33
Railway Assistant Loco Pilot and Technician Solved Papers and Practice Sets 2018;/Railway-Assistant-Technician-Solved-Practice/dp/931214782X?_encoding=UTF8&psc=1;Not Available;   114.00;3.8 out of 5 stars;10
Everyone Has A Story;/Everyone-Has-Story-Savi-Sharma/dp/9386036754?_encoding=UTF8&psc=1;Savi Sharma;   77.00;4.1 out of 5 stars;2,833
Chapterwise Solutions Physics JEE Main 2018;/Chapterwise-Solutions-Physics-Main-2018/dp/9311126292?_encoding=UTF8&psc=1;Not Available;   168.00;3.8 out of 5 stars;27
Skin in the Game;/Skin-Game-Nassim-Nicholas-Taleb/dp/0241300657?_encoding=UTF8&psc=1;Nassim Nicholas Taleb;   539.00;4.3 out of 5 stars;7
